PersonType,FirstName,LastName,OrganizationLevel,JobTitle,Birthdate,MaritalStatus,Gender,HireDate,VacationHours,SickLeaveHours
EM,Jo,Brown,3,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,80,60
EM,Guy,Gilbert,4,Production Technician - WC60,1988-03-13,M,M,2006-06-30,21,30
EM,Mark,McArthur,4,Production Technician - WC60,1979-09-25,S,M,2009-01-23,19,29
EM,Britta,Simon,4,Production Technician - WC60,1989-09-28,M,F,2009-01-29,14,27
EM,Margie,Shoop,4,Production Technician - WC60,1986-05-20,M,F,2009-01-04,18,29
EM,Rebecca,Laszlo,4,Production Technician - WC60,1977-07-10,M,F,2008-12-29,23,31
EM,Annik,Stahl,4,Production Technician - WC60,1976-12-26,M,M,2008-12-17,17,28
EM,Suchitra,Mohan,4,Production Technician - WC60,1987-06-10,M,F,2009-02-16,15,27
EM,Brandon,Heidepriem,4,Production Technician - WC60,1977-01-10,M,M,2009-02-08,22,31
EM,Jose,Lugo,4,Production Technician - WC60,1984-07-31,M,M,2009-02-10,20,30
EM,Chris,Okelberry,4,Production Technician - WC60,1986-08-07,S,M,2009-03-07,16,28
EM,Kim,Abercrombie,4,Production Technician - WC60,1966-12-14,M,F,2010-01-16,24,32
EM,Ed,Dudenhoefer,4,Production Technician - WC60,1971-09-11,S,M,2010-02-05,25,32
EM,JoLynn,Dobney,3,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,82,61
EM,Bryan,Baker,4,Production Technician - WC60,1973-08-27,S,M,2009-01-21,35,37
EM,James,Kramer,4,Production Technician - WC60,1984-07-25,M,M,2008-12-27,39,39
EM,Nancy,Anderson,4,Production Technician - WC60,1988-11-19,M,F,2009-01-02,34,37
EM,Simon,Rapier,4,Production Technician - WC60,1990-05-17,S,M,2008-12-08,38,39
EM,Thomas,Michaels,4,Production Technician - WC60,1986-01-10,M,M,2009-02-26,37,38
EM,Eugene,Kogan,4,Production Technician - WC60,1976-02-10,S,M,2009-02-08,36,38
EM,Andrew,Hill,3,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,65,52
EM,Ruth,Ellerbrock,4,Production Technician - WC10,1956-06-04,M,F,2008-01-06,83,61
EM,Barry,Johnson,4,Production Technician - WC10,1956-03-26,S,M,2008-01-07,88,64
EM,Sidney,Higa,4,Production Technician - WC10,1956-08-30,M,M,2008-02-02,84,62
EM,Jeffrey,Ford,4,Production Technician - WC10,1956-07-11,S,M,2008-02-20,85,62
EM,Doris,Hartwig,4,Production Technician - WC10,1956-04-04,M,F,2008-03-10,86,63
EM,Diane,Glimp,4,Production Technician - WC10,1956-03-29,M,F,2008-03-28,87,63
EM,Bonnie,Kearney,4,Production Technician - WC10,1986-09-10,M,F,2010-01-01,89,64
EM,Taylor,Maxwell,3,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,79,59
EM,Denise,Smith,4,Production Technician - WC50,1988-07-06,M,F,2009-02-05,9,24
EM,Frank,Miller,4,Production Technician - WC50,1971-07-24,S,M,2009-02-23,10,25
EM,Kendall,Keil,4,Production Technician - WC50,1986-05-30,M,M,2008-12-05,11,25
EM,Bob,Hohman,4,Production Technician - WC50,1979-08-16,S,M,2008-12-24,12,26
EM,Pete,Male,4,Production Technician - WC50,1977-02-03,S,M,2009-01-11,13,26
EM,Diane,Tibbott,4,Production Technician - WC50,1989-08-09,S,F,2009-01-18,8,24
EM,John,Campbell,3,Production Supervisor - WC60,1956-08-07,M,M,2008-03-17,81,60
EM,Maciej,Dusza,4,Production Technician - WC60,1955-01-30,S,M,2010-01-29,30,35
EM,Michael,Zwilling,4,Production Technician - WC60,1973-09-05,S,M,2010-02-23,26,33
EM,Randy,Reeves,4,Production Technician - WC60,1970-04-28,M,M,2010-02-23,29,34
EM,Karan,Khanna,4,Production Technician - WC60,1970-03-07,S,M,2009-12-22,28,34
EM,Jay,Adams,4,Production Technician - WC60,1976-02-11,S,M,2009-03-05,32,36
EM,Charles,Fitzgerald,4,Production Technician - WC60,1971-09-02,S,M,2009-12-03,27,33
EM,Steve,Masters,4,Production Technician - WC60,1991-04-06,S,M,2009-02-15,31,35
EM,David,Ortiz,4,Production Technician - WC60,1984-12-29,M,M,2008-12-15,33,36
EM,Michael,Ray,3,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,70,55
EM,Steven,Selikoff,4,Production Technician - WC30,1977-05-14,M,M,2008-12-01,41,40
EM,Carole,Poland,4,Production Technician - WC30,1983-10-19,M,F,2008-12-19,42,41
EM,Bjorn,Rettig,4,Production Technician - WC30,1989-11-06,S,M,2009-01-07,43,41
EM,Michiko,Osada,4,Production Technician - WC30,1982-06-27,S,M,2009-01-26,44,42
EM,Carol,Philips,4,Production Technician - WC30,1988-10-17,M,F,2009-02-12,45,42
EM,Merav,Netz,4,Production Technician - WC30,1983-05-13,M,F,2009-03-03,46,43
EM,Reuben,D'sa,3,Production Supervisor - WC40,1987-08-27,M,M,2008-12-15,72,56
EM,Eric,Brown,4,Production Technician - WC40,1966-12-08,M,M,2010-01-24,60,50
EM,Sandeep,Kaliyath,4,Production Technician - WC40,1970-12-03,S,M,2010-01-17,65,52
EM,Mihail,Frintu,4,Production Technician - WC40,1971-03-09,S,M,2009-12-29,64,52
EM,Jack,Creasey,4,Production Technician - WC40,1973-08-29,S,M,2010-03-03,62,51
EM,Patrick,Cook,4,Production Technician - WC40,1973-12-23,M,M,2010-02-12,61,50
EM,Frank,Martinez,4,Production Technician - WC40,1952-03-02,M,M,2010-02-05,66,53
EM,Brian,Goldstein,4,Production Technician - WC40,1970-12-23,S,M,2009-12-11,63,51
EM,Ryan,Cornelsen,4,Production Technician - WC40,1972-06-13,M,M,2009-01-05,59,49
EM,Cristian,Petculescu,3,Production Supervisor - WC10,1984-04-11,M,M,2008-12-22,67,53
EM,Betsy,Stadick,4,Production Technician - WC10,1966-12-17,S,F,2009-12-18,99,69
EM,Patrick,Wedge,4,Production Technician - WC10,1986-09-10,S,M,2010-02-01,96,68
EM,Danielle,Tiedt,4,Production Technician - WC10,1986-09-07,S,F,2010-02-20,97,68
EM,Kimberly,Zimmerman,4,Production Technician - WC10,1986-09-13,S,F,2010-01-12,95,67
EM,Tom,Vande Velde,4,Production Technician - WC10,1986-10-01,M,M,2010-03-10,98,69
EM,Kok-Ho,Loh,3,Production Supervisor - WC50,1980-04-28,S,M,2008-12-27,78,59
EM,Russell,Hunter,4,Production Technician - WC50,1972-11-25,M,M,2008-12-12,6,23
EM,Jim,Scardelis,4,Production Technician - WC50,1986-09-08,M,M,2008-12-19,1,20
EM,Elizabeth,Keyser,4,Production Technician - WC50,1990-01-25,M,F,2009-03-02,5,22
EM,Mandar,Samant,4,Production Technician - WC50,1986-03-21,S,M,2009-02-10,0,20
EM,Sameer,Tejani,4,Production Technician - WC50,1978-06-26,M,M,2009-02-11,4,22
EM,Nuan,Yu,4,Production Technician - WC50,1979-03-29,S,M,2009-01-06,2,21
EM,Lolan,Song,4,Production Technician - WC50,1973-01-24,M,M,2009-01-12,7,23
EM,Houman,Pournasseh,4,Production Technician - WC50,1971-08-30,M,M,2009-01-25,3,21
EM,Zheng,Mu,3,Production Supervisor - WC10,1983-10-26,S,M,2008-12-03,66,53
EM,Ebru,Ersan,4,Production Technician - WC10,1986-09-22,S,M,2009-12-06,93,66
EM,Mary,Baker,4,Production Technician - WC10,1986-09-19,M,F,2009-12-25,94,67
EM,Kevin,Homer,4,Production Technician - WC10,1986-09-19,S,M,2009-12-25,90,65
EM,John,Kane,4,Production Technician - WC10,1986-09-28,S,M,2010-02-27,92,66
EM,Christopher,Hill,4,Production Technician - WC10,1986-10-01,M,M,2010-02-08,91,65
EM,Jinghao,Liu,3,Production Supervisor - WC50,1989-02-05,S,M,2008-12-08,77,58
EM,Alice,Ciccu,4,Production Technician - WC50,1978-01-26,M,F,2008-12-07,95,67
EM,Jun,Cao,4,Production Technician - WC50,1979-07-06,S,M,2008-12-14,90,65
EM,Suroor,Fatima,4,Production Technician - WC50,1978-02-25,S,M,2008-12-17,93,66
EM,John,Evans,4,Production Technician - WC50,1978-05-31,S,M,2009-01-01,91,65
EM,Linda,Moschell,4,Production Technician - WC50,1987-07-17,M,F,2008-12-25,96,68
EM,Mindaugas,Krapauskas,4,Production Technician - WC50,1978-05-07,M,M,2009-01-13,97,68
EM,Angela,Barbariol,4,Production Technician - WC50,1991-05-31,S,F,2009-01-20,92,66
EM,Michael,Patten,4,Production Technician - WC50,1974-05-03,S,M,2009-01-31,98,69
EM,Chad,Niswonger,4,Production Technician - WC50,1990-08-04,M,M,2009-02-18,99,69
EM,Don,Hall,4,Production Technician - WC50,1971-06-13,M,M,2009-02-13,88,64
EM,Michael,Entin,4,Production Technician - WC50,1989-06-15,S,M,2009-02-25,94,67
EM,Kitti,Lertpiriyasuwat,4,Production Technician - WC50,1987-06-06,S,F,2009-03-04,89,64
EM,Pilar,Ackerman,3,Shipping and Receiving Supervisor,1972-09-09,S,M,2009-01-02,93,66
EM,Susan,Eaton,4,Stocker,1978-02-17,S,F,2008-12-07,97,68
EM,Vamsi,Kuppa,4,Shipping and Receiving Clerk,1977-03-18,M,M,2008-12-07,95,67
EM,Kim,Ralls,4,Stocker,1984-04-30,S,F,2008-12-26,98,69
EM,Matthias,Berndt,4,Shipping and Receiving Clerk,1973-11-11,M,M,2009-01-20,94,67
EM,Jimmy,Bischoff,4,Stocker,1985-05-04,M,M,2009-02-26,96,68
EM,David,Hamilton,3,Production Supervisor - WC40,1983-07-02,S,M,2009-01-03,73,56
EM,Paul,Komosinski,4,Production Technician - WC40,1980-11-13,S,M,2008-12-04,68,54
EM,Gary,Yukish,4,Production Technician - WC40,1988-05-16,S,M,2008-12-22,69,54
EM,Rob,Caron,4,Production Technician - WC40,1973-08-04,S,M,2009-02-13,71,55
EM,Baris,Cetinok,4,Production Technician - WC40,1990-10-07,S,M,2009-02-15,72,56
EM,Nicole,Holliday,4,Production Technician - WC40,1986-04-09,M,F,2009-02-22,67,53
EM,Michael,Rothkugel,4,Production Technician - WC40,1991-01-04,S,M,2009-01-10,70,55
EM,Eric,Gubbels,3,Production Supervisor - WC20,1985-01-19,M,M,2009-01-14,40,40
EM,Ivo,Salmre,4,Production Technician - WC20,1982-01-03,M,M,2008-12-04,9,24
EM,Sylvester,Valdez,4,Production Technician - WC20,1970-11-12,M,M,2009-12-11,4,22
EM,Anibal,Sousa,4,Production Technician - WC20,1974-09-05,S,F,2009-02-23,8,24
EM,Samantha,Smith,4,Production Technician - WC20,1987-11-22,M,F,2009-02-04,7,23
EM,Hung-Fu,Ting,4,Production Technician - WC20,1971-10-23,S,M,2010-01-06,0,20
EM,Prasanna,Samarawickrama,4,Production Technician - WC20,1953-04-30,M,M,2010-01-22,5,22
EM,Min,Su,4,Production Technician - WC20,1974-09-10,M,M,2010-01-24,1,20
EM,Olinda,Turner,4,Production Technician - WC20,1970-04-04,S,F,2010-03-04,3,21
EM,Krishna,Sunkammurali,4,Production Technician - WC20,1971-09-05,S,M,2010-02-13,2,21
EM,Paul,Singh,4,Production Technician - WC20,1990-11-04,M,M,2009-01-17,6,23
EM,Cynthia,Randall,3,Production Supervisor - WC30,1981-08-18,S,F,2009-01-27,69,54
EM,Jian Shuo,Wang,4,Production Technician - WC30,1989-06-25,S,M,2008-12-07,36,38
EM,Sandra,Reátegui Alayo,4,Production Technician - WC30,1975-11-05,M,F,2008-12-26,37,38
EM,Jason,Watters,4,Production Technician - WC30,1988-12-07,S,M,2009-01-14,38,39
EM,Andy,Ruth,4,Production Technician - WC30,1983-10-20,M,M,2009-01-31,39,39
EM,Michael,Vanderhyde,4,Production Technician - WC30,1982-09-18,M,M,2009-02-26,35,37
EM,Rostislav,Shabalin,4,Production Technician - WC30,1977-09-13,M,M,2009-02-19,40,40
EM,Yuhong,Li,3,Production Supervisor - WC20,1977-04-06,M,M,2009-02-01,41,40
EM,Hanying,Feng,4,Production Technician - WC20,1974-10-16,S,M,2008-12-16,15,27
EM,Raymond,Sam,4,Production Technician - WC20,1967-03-02,M,M,2008-12-23,10,25
EM,Fadi,Fakhouri,4,Production Technician - WC20,1989-02-15,S,M,2009-01-04,16,28
EM,Lane,Sacksteder,4,Production Technician - WC20,1974-09-23,M,M,2009-01-11,11,25
EM,Linda,Randall,4,Production Technician - WC20,1977-10-05,S,F,2009-02-03,12,26
EM,Shelley,Dyck,4,Production Technician - WC20,1986-12-08,S,F,2009-03-07,14,27
EM,Terrence,Earls,4,Production Technician - WC20,1984-12-08,S,M,2009-02-16,13,26
EM,Jeff,Hay,3,Production Supervisor - WC45,1977-01-15,M,M,2009-01-21,74,57
EM,Kirk,Koenigsbauer,4,Production Technician - WC45,1985-02-06,S,M,2008-12-15,74,57
EM,Laura,Steele,4,Production Technician - WC45,1980-12-25,S,F,2009-01-03,75,57
EM,Alex,Nayberg,4,Production Technician - WC45,1990-04-13,M,M,2009-02-08,77,58
EM,Andrew,Cencini,4,Production Technician - WC45,1988-09-24,S,M,2009-03-06,73,56
EM,Chris,Preston,4,Production Technician - WC45,1988-12-16,M,M,2009-01-22,76,58
EM,Jack,Richins,3,Production Supervisor - WC30,1983-06-22,S,M,2009-02-21,68,54
EM,David,Johnson,4,Production Technician - WC30,1979-11-02,S,M,2008-12-02,25,32
EM,Garrett,Young,4,Production Technician - WC30,1984-08-25,S,M,2008-12-07,34,37
EM,Susan,Metters,4,Production Technician - WC30,1983-04-02,S,F,2008-12-14,31,35
EM,George,Li,4,Production Technician - WC30,1977-04-16,M,M,2008-12-21,26,33
EM,David,Yalovsky,4,Production Technician - WC30,1981-08-03,S,M,2009-01-02,32,36
EM,Marc,Ingle,4,Production Technician - WC30,1986-10-24,M,M,2009-01-16,22,31
EM,Eugene,Zabokritski,4,Production Technician - WC30,1987-07-15,S,M,2009-01-21,33,36
EM,Benjamin,Martin,4,Production Technician - WC30,1986-01-05,S,M,2009-01-27,28,34
EM,Reed,Koch,4,Production Technician - WC30,1989-01-08,M,M,2009-02-02,23,31
EM,David,Lawrence,4,Production Technician - WC30,1985-09-23,M,M,2009-02-14,29,34
EM,Russell,King,4,Production Technician - WC30,1982-02-11,M,M,2009-02-21,24,32
EM,John,Frum,4,Production Technician - WC30,1982-03-24,S,M,2009-03-03,27,33
EM,Jan,Miksovsky,4,Production Technician - WC30,1974-11-15,S,M,2009-03-05,30,35
EM,Katie,McAskill-White,3,Production Supervisor - WC20,1984-11-18,S,F,2009-02-20,42,41
EM,Michael,Hines,4,Production Technician - WC20,1984-11-17,S,M,2008-12-09,20,30
EM,Nitin,Mirchandani,4,Production Technician - WC20,1986-12-01,S,M,2008-12-28,21,30
EM,Barbara,Decker,4,Production Technician - WC20,1979-07-02,M,F,2009-01-22,17,28
EM,John,Chen,4,Production Technician - WC20,1986-04-05,M,M,2009-02-09,18,29
EM,Stefen,Hesse,4,Production Technician - WC20,1975-12-21,S,M,2009-02-28,19,29
EM,Shane,Kim,3,Production Supervisor - WC45,1990-05-24,S,M,2009-02-08,75,57
EM,Yvonne,McKay,4,Production Technician - WC45,1989-04-15,M,F,2008-12-09,79,59
EM,Douglas,Hite,4,Production Technician - WC45,1985-11-24,M,M,2008-12-27,80,60
EM,Janeth,Esteves,4,Production Technician - WC45,1972-07-24,S,F,2009-01-15,81,60
EM,Robert,Rounthwaite,4,Production Technician - WC45,1985-02-28,S,M,2009-02-02,82,61
EM,Lionel,Penuchot,4,Production Technician - WC45,1988-03-14,S,M,2009-02-26,78,59
EM,Brenda,Diaz,3,Production Supervisor - WC40,1983-02-28,M,F,2009-03-05,71,55
EM,Alejandro,McGuel,4,Production Technician - WC40,1988-12-05,S,M,2008-12-06,52,46
EM,Fred,Northup,4,Production Technician - WC40,1989-06-25,S,M,2008-12-12,47,43
EM,Kevin,Liu,4,Production Technician - WC40,1985-12-25,S,M,2008-12-17,58,49
EM,Shammi,Mohamed,4,Production Technician - WC40,1980-10-04,M,M,2008-12-24,53,46
EM,Rajesh,Patel,4,Production Technician - WC40,1977-10-04,M,M,2008-12-31,48,44
EM,Lorraine,Nay,4,Production Technician - WC40,1988-11-26,M,F,2009-01-04,49,44
EM,Paula,Nartker,4,Production Technician - WC40,1987-02-10,M,F,2009-01-12,54,47
EM,Frank,Lee,4,Production Technician - WC40,1987-09-06,M,M,2009-01-17,56,48
EM,Brian,Lloyd,4,Production Technician - WC40,1977-02-10,S,M,2009-01-29,55,47
EM,Tawana,Nusbaum,4,Production Technician - WC40,1989-11-10,S,M,2009-02-05,50,45
EM,Ken,Myer,4,Production Technician - WC40,1981-05-28,M,M,2009-02-24,51,45
EM,Gabe,Mares,4,Production Technician - WC40,1988-05-10,M,M,2009-03-08,57,48
EM,Lori,Kane,3,Production Supervisor - WC45,1980-07-18,S,F,2009-02-26,76,58
EM,Stuart,Munson,4,Production Technician - WC45,1962-09-13,S,M,2008-12-02,84,62
EM,Greg,Alderson,4,Production Technician - WC45,1970-10-18,S,M,2008-12-02,85,62
EM,Scott,Gode,4,Production Technician - WC45,1987-02-10,M,M,2009-01-08,86,63
EM,Kathie,Flood,4,Production Technician - WC45,1990-11-01,M,F,2009-01-27,87,63
EM,Belinda,Newman,4,Production Technician - WC45,1969-09-17,S,F,2009-02-20,83,61
EM,Hazem,Abolrous,2,Quality Assurance Manager,1977-10-26,S,M,2009-02-28,80,60
EM,Peng,Wu,3,Quality Assurance Supervisor,1976-03-18,M,M,2008-12-09,81,60
EM,Sootha,Charncherngkha,4,Quality Assurance Technician,1966-12-05,M,M,2010-02-23,85,62
EM,Andreas,Berglund,4,Quality Assurance Technician,1989-03-28,M,M,2009-02-02,84,62
EM,Mark,Harrington,4,Quality Assurance Technician,1986-04-30,S,M,2009-01-15,83,61
EM,Sean,Alexander,4,Quality Assurance Technician,1976-03-06,S,M,2008-12-28,82,61
EM,Zainal,Arifin,3,Document Control Manager,1976-01-30,M,M,2009-01-04,77,58
EM,Tengiz,Kharatishvili,4,Control Specialist,1990-04-28,S,M,2008-12-16,76,58
EM,Sean,Chai,4,Document Control Assistant,1987-03-12,S,M,2009-01-22,78,59
EM,Karen,Berge,4,Document Control Assistant,1975-12-25,M,F,2009-02-09,79,59
EM,Chris,Norred,4,Control Specialist,1987-05-26,M,M,2009-03-06,75,57
EM,A. Scott,Wright,2,Master Scheduler,1968-09-17,S,M,2008-12-12,44,42
EM,Sairaj,Uddin,3,Scheduling Assistant,1987-12-22,M,M,2009-01-26,46,43
EM,William,Vong,3,Scheduling Assistant,1981-11-06,M,M,2009-01-07,45,42
EM,Alan,Brewer,3,Scheduling Assistant,1984-03-29,M,M,2009-02-13,47,43
EM,Brian,LaMee,3,Scheduling Assistant,1984-08-11,M,M,2009-03-03,48,44
EM,Gary,Altman,2,Facilities Manager,1971-02-18,M,M,2009-12-02,86,63
EM,Christian,Kleinerman,3,Maintenance Supervisor,1976-01-18,M,M,2008-12-14,92,66
EM,Lori,Penor,4,Janitor,1970-07-31,M,F,2010-02-16,90,65
EM,Stuart,Macrae,4,Janitor,1971-12-17,M,M,2010-03-05,88,64
EM,Jo,Berry,4,Janitor,1954-04-24,M,F,2010-03-07,91,65
EM,Pat,Coleman,4,Janitor,1970-12-03,S,M,2010-01-27,89,64
EM,Magnus,Hedlund,3,Facilities Administrative Assistant,1971-08-27,M,M,2009-12-21,87,63
EM,Laura,Norman,1,Chief Financial Officer,1976-01-06,M,F,2009-01-31,0,20
EM,Paula,Barreto de Mattos,2,Human Resources Manager,1976-02-11,M,F,2008-12-06,54,47
EM,Grant,Culbertson,3,Human Resources Administrative Assistant,1976-04-16,S,M,2009-02-25,53,46
EM,Hao,Chen,3,Human Resources Administrative Assistant,1977-04-17,S,M,2009-02-06,52,46
EM,Vidur,Luthra,3,Recruiter,1984-08-01,S,M,2009-01-01,50,45
EM,Mindy,Martin,3,Benefits Specialist,1984-11-20,M,F,2008-12-25,51,45
EM,Willis,Johnson,3,Recruiter,1978-07-18,S,M,2008-12-13,49,44
EM,David,Liu,2,Accounts Manager,1983-07-08,M,M,2009-01-30,57,48
EM,Deborah,Poe,3,Accounts Receivable Specialist,1976-03-06,M,F,2008-12-18,60,50
EM,Candy,Spoon,3,Accounts Receivable Specialist,1976-02-23,S,F,2009-01-06,61,50
EM,Bryan,Walton,3,Accounts Receivable Specialist,1984-09-20,S,M,2009-01-24,62,51
EM,Barbara,Moreland,3,Accountant,1976-01-04,M,F,2009-02-18,58,49
EM,Dragan,Tomic,3,Accounts Payable Specialist,1977-02-14,M,M,2009-02-11,63,51
EM,Janet,Sheperdigian,3,Accounts Payable Specialist,1979-03-09,M,F,2009-03-01,64,52
EM,Mike,Seamans,3,Accountant,1979-07-01,S,M,2009-03-08,59,49
EM,Wendy,Kahn,2,Finance Manager,1984-10-11,S,F,2008-12-25,55,47
EM,Sheela,Word,3,Purchasing Manager,1978-02-10,S,F,2011-02-25,49,44
EM,Mikael,Sandberg,4,Buyer,1984-08-17,S,M,2009-02-10,59,49
EM,Arvind,Rao,4,Buyer,1974-08-21,M,M,2009-02-28,60,50
EM,Linda,Meisner,4,Buyer,1970-11-30,M,F,2009-12-17,56,48
EM,Fukiko,Ogisu,4,Buyer,1970-11-24,M,M,2010-01-04,57,48
EM,Gordon,Hee,4,Buyer,1966-11-29,M,M,2010-01-11,52,46
EM,Frank,Pellow,4,Buyer,1952-05-12,M,M,2010-01-23,58,49
EM,Eric,Kurjan,4,Buyer,1972-09-17,S,M,2010-01-27,54,47
EM,Erin,Hagens,4,Buyer,1971-01-04,S,F,2010-01-31,53,46
EM,Ben,Miller,4,Buyer,1973-06-03,M,M,2010-03-09,55,47
EM,Annette,Hill,4,Purchasing Assistant,1978-01-29,M,F,2010-12-06,50,45
EM,Reinout,Hillmann,4,Purchasing Assistant,1978-01-17,M,M,2010-12-25,51,45
EM,David,Barber,2,Assistant to the Chief Financial Officer,1964-06-21,S,M,2009-01-12,56,48
EM,Jean,Trenary,1,Information Services Manager,1975-12-13,S,F,2008-12-11,65,52
EM,Stephanie,Conroy,2,Network Manager,1984-03-25,S,F,2009-02-04,68,54
EM,Ashvini,Sharma,3,Network Administrator,1977-03-27,S,M,2008-12-04,70,55
EM,Peter,Connelly,3,Network Administrator,1980-05-28,S,M,2009-02-23,69,54
EM,Karen,Berg,2,Application Specialist,1978-05-19,S,F,2009-02-16,74,57
EM,Ramesh,Meyyappan,2,Application Specialist,1988-03-13,S,M,2009-02-03,73,56
EM,Dan,Bacon,2,Application Specialist,1987-05-26,M,M,2009-01-11,72,56
EM,François,Ajenstat,2,Database Administrator,1975-05-17,S,M,2009-01-17,67,53
EM,Dan,Wilson,2,Database Administrator,1976-01-06,M,M,2009-01-22,66,53
EM,Janaina,Bueno,2,Application Specialist,1985-01-30,M,F,2008-12-23,71,55
EM,Brian,Welcker,1,Vice President of Sales,1977-06-06,S,M,2011-02-15,10,25
SP,Stephen,Jiang,2,North American Sales Manager,1951-10-17,M,M,2011-01-04,14,27
SP,Michael,Blythe,3,Sales Representative,1968-12-25,S,M,2011-05-31,38,39
SP,Linda,Mitchell,3,Sales Representative,1980-02-27,M,F,2011-05-31,27,33
SP,Jillian,Carson,3,Sales Representative,1962-08-29,S,F,2011-05-31,24,32
SP,Garrett,Vargas,3,Sales Representative,1975-02-04,M,M,2011-05-31,33,36
SP,Tsvi,Reiter,3,Sales Representative,1974-01-18,M,M,2011-05-31,29,34
SP,Pamela,Ansman-Wolfe,3,Sales Representative,1974-12-06,S,F,2011-05-31,22,31
SP,Shu,Ito,3,Sales Representative,1968-03-09,M,M,2011-05-31,26,33
SP,José,Saraiva,3,Sales Representative,1963-12-11,M,M,2011-05-31,31,35
SP,David,Campbell,3,Sales Representative,1974-02-11,S,M,2011-05-31,23,31
SP,Tete,Mensa-Annan,3,Sales Representative,1978-01-05,M,M,2012-09-30,39,39
SP,Syed,Abbas,2,Pacific Sales Manager,1975-01-11,M,M,2013-03-14,20,30
SP,Lynn,Tsoflias,3,Sales Representative,1977-02-14,S,F,2013-05-30,36,38
SP,Amy,Alberts,2,European Sales Manager,1957-09-20,M,F,2012-04-16,21,30
SP,Rachel,Valdez,3,Sales Representative,1975-07-09,S,F,2013-05-30,35,37
SP,Jae,Pak,3,Sales Representative,1968-03-17,M,F,2012-05-30,37,38
SP,Ranjit,Varkey Chudukatil,3,Sales Representative,1975-09-30,S,M,2012-05-30,34,37
